Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract
Zhuo Y.; Wu X.; Zhou J.,"Zhuo, Yue (57949188900); Wu, Xiaoyu (57447864400); Zhou, Jincheng (57932676800)",57949188900; 57447864400; 57932676800,AN INERTIAL THREE-TERM HYBRID CG-BASED PROJECTION METHOD FOR CONSTRAINED NONLINEAR PSEUDO-MONOTONE EQUATIONS WITH APPLICATIONS,2024,"Numerical Algebra, Control and Optimization",14,3,,581,600,19,10.3934/naco.2023009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200689516&doi=10.3934%2fnaco.2023009&partnerID=40&md5=e5ad756c82e6d3efcda2067937eb7d20,"In this work, we first take some modifications to the three-term conjugate gradient (CG) search direction proposed by Liu et al. [Applied Numerical Mathematics, 2022, 175: 98-107], and the new search direction satisfies the sufficient descent and trust region properties which is independent of any line search. Then, combining with the inertial extrapolation step-length and hyperplane projection technique, we propose an inertial three-term hybrid CGbased projection method to solve nonlinear pseudo-monotone equations with convex constraints. The global convergence of our proposed method is analyzed and established without the Lipschitz continuity. Some numerical experiments are executed on the standard constrained nonlinear equations and their corresponding performance profiles are illustrated, which show that our proposed method is feasible and effective. Finally, our proposed method is extended to restore the blurred images contaminated by the Gaussian noise. © 2024, American Institute of Mathematical Sciences. All rights reserved."
Zhang Y.; Ai Y.; Zhang W.,"Zhang, Yingjie (57226325506); Ai, Yibo (36977911500); Zhang, Weidong (55370525200)",57226325506; 36977911500; 55370525200,Hydrogen assisted crack growth rate model derived by physical-guided piecewise symbol regression,2024,International Journal of Hydrogen Energy,81,,,739,752,13,10.1016/j.ijhydene.2024.07.318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199465150&doi=10.1016%2fj.ijhydene.2024.07.318&partnerID=40&md5=48f65762806947e6bcd66a31dba54b7f,"Hydrogen significantly influences the fatigue crack growth (FCG) of pipeline steel, while traditional semi-empirical models sometimes fail to accurately describe the fatigue crack growth rate (FCGR) at which hydrogen assisted. Traditional machine learning methods also struggle to analyze the physical correlations between model outputs, parameters, and data. In this paper, a two-stage equation for hydrogen-assisted FCG is proposed using Balanced Iterative Reducing and Clustering Using Hierarchies (BIRCH) clustering and domain knowledge-guided symbol regression. The segmentation of crack growth data is achieved through the BIRCH algorithm and outputs the transitive stress intensity factor Kt, while domain knowledge is obtained by analyzing the symbol regression (SR) trees of six existing semi-empirical models. By constraining the symbol regression search space with variable subtrees including ΔK, ΔKth, R, KIH, and KIC, a SR model is developed based on the ×60-5.5 MPa-R0.5 test data. The applicability of the equation under different conditions was validated using test data from X60-5.5 MPa-R0.1, X60-21 MPa-R0.1, X60-21 MPa-R0.5, X42-6.9 MPa-R0.1, and X42-6.9 MPa-R0.8. The results indicate that our model outperforms the other six semi-empirical crack propagation rate models, achieving higher prediction accuracy with a minimum R2 value of 0.968912 and a maximum RMSE value of 0.000003. Therefore, this two-stage model accurately captures the hydrogen-assisted FCGR and enhances the predictive capability of fatigue life in a hydrogen environment, providing valuable references for hydrogen-related pipeline design and operational safety. © 2024 Hydrogen Energy Publications LLC"
Li X.-J.; Chen Y.-M.; Liu J.-K.; Liu G.,"Li, Xue-Jun (59204393500); Chen, Yan-Mao (16063344700); Liu, Ji-Ke (55905146400); Liu, Guang (57195760961)",59204393500; 16063344700; 55905146400; 57195760961,Deciphering the complex behavior of piezoelectric neuron systems through bifurcation analysis with the time-domain minimum residual method,2024,Nonlinear Dynamics,112,19,,17417,17431,14,10.1007/s11071-024-09924-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197515193&doi=10.1007%2fs11071-024-09924-x&partnerID=40&md5=88d0e47c77ae4f3a7e1d280bb19788ab,"In this study, a bifurcation analysis of the piezoelectric neuron system (PNS) is conducted utilizing the time-domain minimum residual method (TMRM). From a biophysical standpoint, integrating piezoelectric devices into a nonlinear neuron circuit enables the conversion of external pressure or sound wave signals into electrical signals. The primary content of this research are as follows: initially, the piezoelectric neuron system is analytically solved by employing the TMRM, yielding high-precision periodic solutions. Subsequently, a detailed bifurcation analysis is performed leveraging these high-precision solutions. The findings demonstrate that the neuronal system experiences a periodic-doubling bifurcation when the amplitude of external stimuli surpasses a specific threshold. With further increases in the stimulus, this periodic-doubling response evolves into a periodic response. Moreover, changes in cell membrane resistance will lead to complex nonlinear behaviors such as stable or unstable period-1 solutions and stable or unstable and critically stable period-3 solutions in the system. These findings offer a theoretical foundation for the advanced design of intelligent functional neuron arrays and sensors. © The Author(s), under exclusive licence to Springer Nature B.V. 2024."
Fan Z.; Yang C.; Lin B.; Yang Y.; Shi Q.,"Fan, Ziyao (58991774600); Yang, Chen (56373914400); Lin, Bochao (58985244200); Yang, Ying (59003890400); Shi, Qinghe (57189028292)",58991774600; 56373914400; 58985244200; 59003890400; 57189028292,Convex set-oriented singular value decomposition with bounded uncertainties,2024,Journal of Computational and Applied Mathematics,448,,115942,,,,10.1016/j.cam.2024.115942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191442848&doi=10.1016%2fj.cam.2024.115942&partnerID=40&md5=f4d526ba52aa8768e0a091a1274bd8ef,"Singular value decomposition (SVD) has played a crucial role in mathematics and applied mathematics, particularly in the field of practical engineering technology, which is almost indispensable in these fields. However, incomplete information caused by uncertainties from multiple sources and fluctuations in inherent properties during engineering practice can seriously interfere with obtaining singular values. Based on the convex set uncertainty theory, a novel convex set-oriented singular value decomposition (CSSVD) is proposed to overcome the limitations of using the nominal SVD method. The CSSVD aims to accurately and efficiently calculate the uncertainty bounds of singular values and vectors through the bounds and correlations of initial uncertainty parameters. Traditional probability methods rely on a sufficient sample size, and when the sample size is insufficient, accurate results cannot be obtained. However, the CSSVD method is based on set theory and can still demonstrate excellent performance in scenarios with small samples. This study investigates the detailed derivation steps of the proposed CSSVD method, taking into consideration properties such as normalization, orthogonality, and Monte Carlo simulation (MCS) to verify the accurate bounds of convex sets. The proposed method is finally applied to several numerical examples to demonstrate its superiority. This includes verifying singular values and vectors, handling high-order matrices, matrices with close singular values, and rectangular matrices. An application of image denoising is also used to evaluate the effectiveness of the proposed method. © 2024"
Călinescu G.; Wang X.,"Călinescu, Gruia (6701518375); Wang, Xiaolang (57202950220)",6701518375; 57202950220,A (1/2+1/60)—Approximation algorithm for Maximum Weight Series-Parallel Subgraph,2024,Discrete Applied Mathematics,354,,,241,261,20,10.1016/j.dam.2023.09.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174453338&doi=10.1016%2fj.dam.2023.09.019&partnerID=40&md5=04b80f0b6d17c28fb6ce5c243e826e3a,We improve the approximation ratio for MAXIMUM WEIGHT SERIES-PARALLEL SUBGRAPH from 1/2 to 1/2+1/60. © 2023 Elsevier B.V.
Seadawy A.R.; Rizvi S.T.R.; Nimra,"Seadawy, Aly R. (57208549494); Rizvi, Syed T. R. (56625561700); Nimra (57999861500)",57208549494; 56625561700; 57999861500,"A study of breather lump wave, rogue wave, periodic cross kink wave, multi-wave, M-shaped rational and their interactions for generalized nonlinear Schrödinger equation",2024,Journal of Nonlinear Optical Physics and Materials,33,5,2350049,,,,10.1142/S0218863523500492,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180553670&doi=10.1142%2fS0218863523500492&partnerID=40&md5=e993f0365693ee3014eb90329cd8a172,"In this paper, we examine generalized nonlinear Schrödinger equation (GNLSE) for lump, breather lump wave, rogue wave, periodic cross kink wave, lump with one kink, lump with two-kink, interaction between lump periodic and kink wave, periodic cross lump wave, periodic wave and multi-wave. Ansatz transformations will be used to study homoclinic breather, kink cross rational, M-shaped rational, periodic cross rational, M-shaped rational with one kink, M-shaped rational with two-kink, M-shaped interaction with rogue and kink and M-shaped interaction with periodic and kink. We will also study the stability of the obtained solutions. Additionally, we present three-dimensional, two-dimensional, contour, and stream plot illustrations for our graphs.  © 2024 World Scientific Publishing Company."
Gaibotti M.; Bigoni D.; Cutolo A.; Fraldi M.; Piccolroaz A.,"Gaibotti, M. (57539419700); Bigoni, D. (7003362024); Cutolo, A. (7005761958); Fraldi, M. (6508180633); Piccolroaz, A. (6504769008)",57539419700; 7003362024; 7005761958; 6508180633; 6504769008,Effects of different loading on the bifurcation of annular elastic rods: Theory vs. experiments,2024,International Journal of Non-Linear Mechanics,165,,104820,,,,10.1016/j.ijnonlinmec.2024.104820,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197064812&doi=10.1016%2fj.ijnonlinmec.2024.104820&partnerID=40&md5=22d9962192c34d77a3b17adbd01066de,"The bifurcation problem of a circular Euler–Bernoulli rod subject to a uniform radial force distribution is investigated under three distinct loading conditions: (i.) hydrostatic pressure, (ii.) centrally-directed, and (iii.) dead load. Previous studies on this apparently ‘familiar’ structural problem have yielded controversial results, necessitating a comprehensive clarification. This study shows that results previously labelled as ‘correct’ or ‘wrong’ simply refer to different external constraints, whose presence becomes necessary only for the two latter loads, (ii.) and (iii.). Moreover, the paper presents the first experimental realization of a circular rod subjected to centrally-directed loads. The experimental findings align with the theoretical predictions and show the exploitation of a new type of load acting on a continuous structural element. The feasibility of this load is demonstrated through the use of inextensible cables and opens the way to applications in flexible robotics when cables are used for actuation. © 2024 The Author(s)"
Bernaud S.; Ramière I.; Latu G.; Michel B.,"Bernaud, Stéphane (57194170612); Ramière, Isabelle (15064625400); Latu, Guillaume (14018017600); Michel, Bruno (7202124400)",57194170612; 15064625400; 14018017600; 7202124400,PLEIADES: A numerical framework dedicated to the multiphysics and multiscale nuclear fuel behavior simulation,2024,Annals of Nuclear Energy,205,,110577,,,,10.1016/j.anucene.2024.110577,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192309443&doi=10.1016%2fj.anucene.2024.110577&partnerID=40&md5=245104e310061999ae9a5cbdd8b2fbba,"The aim of this paper is to introduce the PLEIADES framework offering a set of services and numerical tools to model and simulate the behavior of nuclear fuels of different concepts of reactors. The framework provides in particular the following features: interfaces to manipulate meshes and fields, services to deal with different physical solvers, setup of coupling trees to realize multiphysics partitioned (accelerated) fixed point couplings, automated time-marching algorithm, checkpoint/restart strategies, capability to realize on-the-fly multiscale couplings. It is built with a permanent concern for sustainability, scalability and maintainability. PLEIADES framework supports multidimensional simulations, typically 1D, 2D and 3D, possibly multilayered. To date, this framework relies on the generic thermomechanical finite elements solver Cast3M to deal with partial derivative problems (mechanical, thermal or diffusion problems) at the scale of the structure or the (heterogeneous) microstructure. It also makes use of so-called point models (mainly based on ODE — ordinary differential equations) to describe the local (mesoscale) evolution of the material through the physics of irradiation. Several software applications are built on the PLEIADES framework, they can use its parallel features to use multiple processors. The multilayered calculation scheme provides a way to loosen the computations and access to a good parallel performance up to hundred cores. It is also possible to achieve efficient scalable concurrent multiscale simulations through finite element square (FE2) computational homogenization algorithms. © 2024"
Stepanyants H.; Beardon A.; Paton J.; Krioukov D.,"Stepanyants, Huck (57985141700); Beardon, Alan (7003490709); Paton, Jeremy (57656723700); Krioukov, Dmitri (8665784100)",57985141700; 7003490709; 57656723700; 8665784100,Computing distances on Riemann surfaces,2024,Journal of Physics A: Mathematical and Theoretical,57,34,345201,,,,10.1088/1751-8121/ad653a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201046510&doi=10.1088%2f1751-8121%2fad653a&partnerID=40&md5=bb16682fc1c1cd5e0f43264b9f4d24d4,"Riemann surfaces are among the simplest and most basic geometric objects. They appear as key players in many branches of physics, mathematics, and other sciences. Despite their widespread significance, how to compute distances between pairs of points on compact Riemann surfaces is surprisingly unknown, unless the surface is a sphere or a torus. This is because on higher-genus surfaces, the distance formula involves an infimum over infinitely many terms, so it cannot be evaluated in practice. Here we derive a computable distance formula for a broad class of Riemann surfaces. The formula reduces the infimum to a minimum over an explicit set consisting of finitely many terms. We also develop a distance computation algorithm, which cannot be expressed as a formula, but which is more computationally efficient on surfaces with high genuses. We illustrate both the formula and the algorithm in application to generalized Bolza surfaces, which are a particular class of highly symmetric compact Riemann surfaces of any genus greater than 1. © 2024 The Author(s). Published by IOP Publishing Ltd."
Xin Y.; Hu J.; Wang Z.,"Xin, Yuntong (59169310900); Hu, Jianjun (57194690838); Wang, Zhouxin (57945386200)",59169310900; 57194690838; 57945386200,An energy management strategy with considering ultracapacitor ideal state of charge for fuel cell/battery/ultracapacitor vehicle,2024,Energy,304,,132024,,,,10.1016/j.energy.2024.132024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195783559&doi=10.1016%2fj.energy.2024.132024&partnerID=40&md5=05a4a0c2fc4b4bc7db4ee44d9462e207,"The hybridization of energy storage systems consisting of fuel cells, batteries, and ultracapacitors has tremendous potential in fuel cell hybrid electric vehicles. However, the utilization of ultracapacitors in existing energy management strategies is insufficient, preventing complete exploitation of the energy storage system's benefits. To strengthen the utilization of ultracapacitors, this paper proposes an energy management strategy for fuel cell vehicles with three energy sources, considering the ideal state of charge (SOC) of ultracapacitors. The proposed method disassembles the motor power demand, with the ultracapacitor primarily supplying the acceleration portion. It calculates the ideal SOC of the ultracapacitor, and controlling the actual SOC of the ultracapacitor to match the ideal SOC. Furthermore, a fuzzy logic controller is designed to modify the fuel cell's output power, reducing power fluctuation. Additionally, according to the variation of the SOC of the battery, the fuel cell output power is modified to enhance the overall performance of the composite energy storage system. Simulation and hardware-in-loop results demonstrate that, compared to the adaptive filtering strategy with fuel cell power constraints and dynamic programming strategy, the strategy proposed in this paper reduces operational costs by 14.56 % and 4.99 %, respectively. © 2024 Elsevier Ltd"
Varma S.; Sanford E.M.; Marupudi V.; Shaffer O.; Brooke Lea R.,"Varma, Sashank (14066713400); Sanford, Emily M. (57203115551); Marupudi, Vijay (57215614098); Shaffer, Olivia (59242991600); Brooke Lea, R. (59244019400)",14066713400; 57203115551; 57215614098; 59242991600; 59244019400,Recruitment of magnitude representations to understand graded words,2024,Cognitive Psychology,153,,101673,,,,10.1016/j.cogpsych.2024.101673,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200235436&doi=10.1016%2fj.cogpsych.2024.101673&partnerID=40&md5=f79f2a425d4e098f798573814247a3e5,"Language understanding and mathematics understanding are two fundamental forms of human thinking. Prior research has largely focused on the question of how language shapes mathematical thinking. The current study considers the converse question. Specifically, it investigates whether the magnitude representations that are thought to anchor understanding of number are also recruited to understand the meanings of graded words. These are words that come in scales (e.g., Anger) whose members can be ordered by the degree to which they possess the defining property (e.g., calm, annoyed, angry, furious). Experiment 1 uses the comparison paradigm to find evidence that the distance, ratio, and boundary effects that are taken as evidence of the recruitment of magnitude representations extend from numbers to words. Experiment 2 uses a similarity rating paradigm and multi-dimensional scaling to find converging evidence for these effects in graded word understanding. Experiment 3 evaluates an alternative hypothesis – that these effects for graded words simply reflect the statistical structure of the linguistic environment – by using machine learning models of distributional word semantics: LSA, word2vec, GloVe, counterfitted word vectors, BERT, RoBERTa, and GPT-2. These models fail to show the full pattern of effects observed of humans in Experiment 2, suggesting that more is needed than mere statistics. This research paves the way for further investigations of the role of magnitude representations in sentence and text comprehension, and of the question of whether language understanding and number understanding draw on shared or independent magnitude representations. It also informs the role of machine learning models in cognitive psychology research. © 2024 Elsevier Inc."
Rengifo-López E.L.; Pierce C.E.; Matta F.,"Rengifo-López, Erika L. (57207229025); Pierce, Charles E. (7101927158); Matta, Fabio (8979729200)",57207229025; 7101927158; 8979729200,Adaptable Framework for K-12 STEM Outreach Activities: The Case of a Civil Engineering Workshop on Sustainable and Hazard-Resistant Earth Masonry,2024,Journal of Civil Engineering Education,150,4,5024005,,,,10.1061/JCEECD.EIENG-2028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194887909&doi=10.1061%2fJCEECD.EIENG-2028&partnerID=40&md5=88c4ce86b6e25a480131ae56d583165e,"Conducting K-12 outreach programs on university or college campuses focused on science, technology, engineering, and mathematics (STEM) disciplines is an essential part of the multifaceted effort for preparing future generations of engineers and scientists. However, the lack of structured frameworks to design and deliver activities and programs that maximize potential impacts poses a challenge. This case study contributes to filling this gap by presenting a six-step adaptable pedagogical framework whose intent is to provide meaningful structure for on-campus STEM outreach activities that emphasize collaborative, hands-on learning experiences for pre-college students. Successful implementation of the framework is demonstrated through the design of a civil engineering workshop on sustainable and hazard-resistant earth masonry, and its evaluation through the analysis of the feedback of 85 participants from three summer workshops for high school students between 2017 and 2019. © 2024 American Society of Civil Engineers."
,,,Erratum: Life satisfaction and athletic identity among Olympic para-alpine skiers: a survey (International Journal of Rehabilitation Research (2024) 47 (229) DOI: 10.1097/MRR.0000000000000539),2024,International Journal of Rehabilitation Research,47,3,,229,,,10.1097/MRR.0000000000000640,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200193654&doi=10.1097%2fMRR.0000000000000640&partnerID=40&md5=cce5abc74f08069a6674b62718db9358,"In the article by Šuc et al.[1], there was an error in the affiliation of the first (and corresponding) author. Her second institution (Faculty of Sport, University of Ljubljana, Ljubljana, Slovenia) was missing. Therefore, the corrected affiliations should read: Šuc, Nikaa,b; Vidmar Gajc,d,e; Cecic Erpic, Sašab; Lešnik, Blažb aSpecial Education Centre Janez Levec, Ljubljana, Slovenia bFaculty of Sport, University of Ljubljana, Ljubljana, Slovenia cUniversity Rehabilitation Institute, Ljubljana, Slovenia dFaculty of Medicine, University of Ljubljana, Ljubljana eFaculty of Mathematics, Natural Sciences and Information Technologies, University of Primorska, Koper, Slovenia. © 2024 Lippincott Williams and Wilkins. All rights reserved."
Grekousis G.; Sunarta I.N.; Stratoulias D.,"Grekousis, George (52563646600); Sunarta, I Nyoman (56041450700); Stratoulias, Dimitris (56270527600)",52563646600; 56041450700; 56270527600,Tracing vulnerable communities to ambient air pollution exposure: A geodemographic and remote sensing approach,2024,Environmental Research,258,,119491,,,,10.1016/j.envres.2024.119491,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197353772&doi=10.1016%2fj.envres.2024.119491&partnerID=40&md5=1fc7076a08b1b6f730bcaed00be7b37c,"Most studies analyzing the effects of air pollution on disadvantaged populations use ground air quality measurements. However, ground stations are generally limited, with nearly 40% of countries having no official PM2.5 stations, not allowing air quality analysis for a significantly large share of the world's population. Furthermore, limited studies analyze community data from a geodemographic perspective, in other words, to delineate the sociodemographic profiles and geographically locate the socioeconomic groups more exposed to ambient air pollution. Therefore, a significant question arises: How can we trace vulnerable communities to air pollution in areas lacking air-quality ground data? Here, we propose a novel methodology to respond to this question. We use NO2, SO2, CO, and HCHO tropospheric column air-quality data from Sentinel-5P, a satellite that quantifies concentrations of atmospheric species from space operationally. We integrate them with census and environmental data and apply the local fuzzy geographically weighted clustering spatial machine learning method for segmentation analysis. Our findings for Bali, Indonesia, provide quantitative evidence for the benefits of this methodology in tracing and delineating the profiles of the communities most exposed to air pollution. For example, results show that communities with highly disadvantaged populations, such as unemployed (over 27.8%), low educated (over 27.9%), and children (over 22.1%) (mainly located around Bali's south and north coast touristic areas), exhibit very high values (over the 75th quartile) across the pollutants studied. The proposed method is reproducible easily, quickly, and at low cost, as it is based on freely available satellite data and not on costly ground station measurements. This will hopefully assist decision-makers in tracing the most vulnerable subpopulations, even in areas with inadequate air-quality monitoring networks, thus allowing local governments around the globe (even those that are financially weak) to achieve environmental justice and their sustainable development goals. © 2024 Elsevier Inc."
Sutarni S.; Sutama; Prayitno H.J.; Sutopo A.; Laksmiwati P.A.,"Sutarni, Sri (57498317700); Sutama (57208798189); Prayitno, Harun Joko (57208802031); Sutopo, Anam (57201580362); Laksmiwati, Pasttita Ayu (57218393872)",57498317700; 57208798189; 57208802031; 57201580362; 57218393872,THE DEVELOPMENT OF REALISTIC MATHEMATICS EDUCATION-BASED STUDENT WORKSHEETS TO ENHANCE HIGHER-ORDER THINKING SKILLS AND MATHEMATICAL ABILITY,2024,Infinity Journal,13,2,,285,300,15,10.22460/infinity.v13i2.p285-300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200791631&doi=10.22460%2finfinity.v13i2.p285-300&partnerID=40&md5=278f956caeddfb979c2e58ce97a54649,"This study aims to provide educational resources in the form of worksheets based on Realistic Mathematics Education (RME) principles and focus on the topic of equal fractions. The main criteria for these resources are validity, feasibility, and effectiveness. The development methodology employed in this study is the ADDIE model, which encompasses the Analysis, Design, Development, Implementation, and Evaluation stages. The participants of this study consisted of 14 pupils enrolled in class IV at SDM Alam Surakarta. The assessment tools employed consisted of assessments on student learning outcomes about equivalent fractions and supplementary materials in the form of questionnaires, interview guides, and observation sheets. The examination of the data reveals that the learning tools have achieved a high level of validity, falling inside the extremely valid category, with an average score of 4.26. The feasibility test for the LKS, conducted by the assisting instructor, yielded an average score of 4.4. The pupils' performance on the LKS assessment yielded an average score of 4.89, placing them in the ""very feasible"" category. The classical student learning outcomes achieved a completeness of 85.71%, as evidenced by an average score of 80.35. Notably, 12 students attained a complete score. There is a noticeable upward trend in student engagement during each learning session. The findings from the data analysis conducted on instructors' competencies in managing RME-based learning revealed an average score of 92, indicating a high level of proficiency. Students who were qualitatively integrated into the eligibility questionnaire also expressed positive responses. Therefore, learning tools based on Realistic Mathematics Education (RME) exhibit high validity, feasibility, and effectiveness in educational settings, as they have been empirically demonstrated to enhance students' mathematical proficiency. © 2024, STKIP Siliwangi Bandung (IKIP Siliwangi). All rights reserved."
Shankar C.U.; Nithya Devi N.,"Shankar, C. Udhaya (56681231200); Nithya Devi, N. (59208844300)",56681231200; 59208844300,UPQC-Based Hybrid Technique to Reduce Power Quality Problems in the Photovoltaic Grid System,2024,"Journal of Circuits, Systems and Computers",33,13,2450171,,,,10.1142/S0218126624501718,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197815485&doi=10.1142%2fS0218126624501718&partnerID=40&md5=8e02bc6341c0e2d8d8784d4ddc79da22,"In addition to Power Quality (PQ) problems caused by solid state devices in the distribution side of grid connected Photo Voltaic (PV) system, quality of power also suffers in the source side by the usage of converters. Generally, PQ problems mitigation strategy has turned into a critical issue in grid-connected PV systems. This paper proposes a control topology for PQ issues mitigation scheme in grid connected PV systems. The primary goal of this study is to enhance the PQ in power distribution system through eradicating the voltage interruption, voltage swell and sag as well as voltage fluctuation. To accomplish these changes, Unified Power Quality Conditioners (UPQCs) with controllers were utilized. Then the faults are mitigated by the utilization of UPQC with Tree Seeds Algorithm (TSA) - Adaptive Neuro-Fuzzy Interference System (ANFIS). At first, the normal properties of the grid-connected PV systems are dissected. From that point forward, a few interruptions are made in the system and the abnormal characteristics are analyzed. Then the abnormal characteristics of PQ problems are diminished in the utilization of UPQC and TSA-ANFIS controllers. UPQC is one of the best filters topologies which can mitigate and control all PQ problems. The combined algorithms of TSA-ANFIS are used to keep the dc-link voltage in UPQC at consistent level. The proposed hybrid approach is executed in MATLAB/Simulink platform and the performance is studied. Further, the proposed method is compared with existing Elephant Herding Optimization (EHO) technique and also with hybrid EHO-ANFIS techniques. The comparison results showed that the proposed technique is superior to the EHO and EHO-ANFIS techniques. © 2024 World Scientific Publishing Company."
Dereili R.; Estaki M.; Beheshte N.,"Dereili, Ronak (59256110400); Estaki, Mahnaz (54891953900); Beheshte, Nusha (59256110500)",59256110400; 54891953900; 59256110500,"Effect of Cognitive Rehabilitation Trainingon Information Processing Speed, Response Inhibition, Attention, and Perceptual Reasoning in Students With Dyscalculia",2024,Iranian Rehabilitation Journal,22,3,,509,518,9,10.32598/irj.22.3.2102.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200974021&doi=10.32598%2firj.22.3.2102.1&partnerID=40&md5=5466273e3593802e3eec369e87d0a98e,"Objectives: Children with learning disabilities have problems with processing speed, reaction inhibition, attention and perception, hearing, and visual clarity. Accordingly, this study examines the effects of cognitive rehabilitation on processing speed, response inhibition, attention, and Perceptual Reasoning in students with mathematics learning disabilities. Methods: This was a semi-experimental study with a pre-test-post-test design and a control group. The statistical population included all third-grade students with mathematics problems in Tehran City, Iran, in 2017. They were referred to Roozbeh Counseling and Rehabilitation Clinic for treatment and met the inclusion criteria. A total of 30 students were selected from among these individuals using the purposive sampling method. The participants were assigned to experimental (n=15) and control groups (n=15). The participants in the experimental group underwent a 20-session cognitive rehabilitation program. The Grant and Beck Wisconsin test (1948), the Wechsler intelligence test (2003), the fourth edition, the Sarrold continuous achievement test (1956), and the Toulouse-Piron attention test (1986) were used to collect data. The data were analyzed using the multivariate analysis of variance and the SPSS software, version 22. Results: Cognitive rehabilitation strategies effectively affect information processing speed, responsiveness, attention and perceptual reasoning in children with math learning disabilities (P<0.001). Furthermore, the results showed that learning cognitive rehabilitation strategies had a considerable impact on perceptual reasoning (P<0.001) according to the resulting Eta coefficient (η2=0.92). Discussion: Cognitive rehabilitation is a practical approach to improving information processing speed, reaction inhibition, attention, and Perceptual Reasoning skills in students with special mathematical learning disabilities. Copyright © 2024 The Author(s); This is an open access article distributed under the terms of the Creative Commons Attribution License (CC-By-NC: https://creativecommons.org/licenses/by-nc/4.0/legalcode.en), which permits use, distribution, and reproduction in any medium, provided the original work is properly cited and is not used for commercial purposes."
Zhang H.; Ling L.; Stichel S.; Zhai W.,"Zhang, Heng (58555492400); Ling, Liang (54931322500); Stichel, Sebastian (6603148271); Zhai, Wanming (7102239159)",58555492400; 54931322500; 6603148271; 7102239159,Integration of bio-inspired limb-like structure damping into motor suspension of high-speed trains to enhance bogie hunting stability,2024,Railway Engineering Science,32,3,,324,343,19,10.1007/s40534-024-00336-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197557968&doi=10.1007%2fs40534-024-00336-6&partnerID=40&md5=3a48ab063eba0ba720070c706d6b95f3,"Hunting stability is an important performance criterion in railway vehicles. This study proposes an incorporation of a bio-inspired limb-like structure (LLS)-based nonlinear damping into the motor suspension system for traction units to improve the nonlinear critical speed and hunting stability of high-speed trains (HSTs). Initially, a vibration transmission analysis is conducted on a HST vehicle and a metro vehicle that suffered from hunting motion to explore the effect of different motor suspension systems from on-track tests. Subsequently, a simplified lateral dynamics model of an HST bogie is established to investigate the influence of the motor suspension on the bogie hunting behavior. The bifurcation analysis is applied to optimize the motor suspension parameters for high critical speed. Then, the nonlinear damping of the bio-inspired LLS, which has a positive correlation with the relative displacement, can further improve the modal damping of hunting motion and nonlinear critical speed compared with the linear motor suspension system. Furthermore, a comprehensive numerical model of a high-speed train, considering all nonlinearities, is established to investigate the influence of different types of motor suspension. The simulation results are well consistent with the theoretical analysis. The benefits of employing nonlinear damping of the bio-inspired LLS into the motor suspension of HSTs to enhance bogie hunting stability are thoroughly validated. © The Author(s) 2024."
